english,asl_gloss
What is your name?,YOU NAME WHAT?
I am going to the store,STORE ME GO.
The weather is nice today,TODAY WEATHER NICE.
Did you finish your homework?,HOMEWORK YOU FINISH?
I don't understand that sign,THAT SIGN ME UNDERSTAND NOT.
My favorite color is blue,COLOR FAVORITE ME BLUE.
We should leave at five o'clock,FIVE O'CLOCK WE SHOULD LEAVE.
I am happy to see you,ME HAPPY SEE YOU.
Do you like to watch movies?,MOVIES WATCH YOU LIKE?
She has two brothers and one sister,SISTER ONE BROTHER TWO SHE HAVE.
The meeting is canceled,MEETING CANCEL.
Where is the nearest restroom?,RESTROOM NEAR WHERE?
I need to buy new shoes,SHOES NEW ME NEED BUY.
It was a very long day,DAY LONG VERY WAS.
Can you please help me with this?,THIS ME HELP PLEASE CAN YOU?
I woke up early this morning,THIS MORNING ME WAKE-UP EARLY.
He is a good student,STUDENT GOOD HE.
I will call you later,LATER ME WILL CALL YOU.
We are learning American Sign Language,ASL WE LEARNING.
Don't forget to lock the door,DOOR LOCK FORGET NOT.
I love to drink coffee,COFFEE DRINK ME LOVE.
Do you want to eat now?,EAT NOW YOU WANT?
That is a beautiful house,HOUSE BEAUTIFUL THAT.
I'm so tired I need a rest,ME TIRED SO ME NEED REST.
It's raining outside,OUTSIDE RAIN.
The test was really difficult,TEST DIFFICULT REALLY.
What time does the class start?,CLASS START TIME WHAT?
I feel sick today,TODAY ME FEEL SICK.
I live in New York City,NEW YORK CITY ME LIVE.
Let's go for a walk in the park,PARK WALK LET'S GO.
Did you see the news last night?,LAST NIGHT NEWS YOU SEE?
I have to study for my exam,EXAM ME MUST STUDY.
She is a very talented artist,ARTIST TALENTED VERY SHE.
The traffic was terrible this morning,THIS MORNING TRAFFIC TERRIBLE.
I'm going to the beach this weekend,THIS WEEKEND ME GO BEACH.
How many people are in your family?,FAMILY YOUR PEOPLE HOW-MANY?
Can you spell that word for me?,THAT WORD YOU SPELL ME?
I like to read books at night,NIGHT ME LIKE READ BOOKS.
I need a glass of water,WATER GLASS ME NEED.
Be careful when you cross the street,STREET CROSS CAREFUL BE.
I bought a new car yesterday,YESTERDAY CAR NEW ME BUY.
Do you prefer tea or coffee?,TEA COFFEE YOU PREFER WHICH?
The dog is sleeping on the floor,DOG FLOOR SLEEPING.
I will be there in ten minutes,TEN MINUTES ME WILL BE THERE.
It's cold outside wear a jacket,OUTSIDE COLD JACKET WEAR.
What did you eat for lunch?,LUNCH YOU EAT WHAT?
I lost my keys somewhere,KEYS ME LOST SOMEWHERE.
I need to save money for a trip,TRIP ME NEED SAVE MONEY.
The movie starts at seven thirty,MOVIE START SEVEN THIRTY.
I don't know the answer,ANSWER ME NOT KNOW.
I need to clean my room,ROOM ME NEED CLEAN.
Do you enjoy cooking?,COOKING YOU ENJOY?
I am learning to play the piano,PIANO ME LEARNING PLAY.
I need a new job,JOB NEW ME NEED.
The library opens at nine a.m,LIBRARY OPEN NINE A.M.
I am very busy this week,THIS WEEK ME BUSY VERY.
What is the problem?,PROBLEM WHAT?
I need a break from work,WORK ME NEED BREAK FROM.
The cat is chasing a mouse,CAT CHASE MOUSE.
I hope to travel soon,SOON ME HOPE TRAVEL.
Do you have any plans for the holiday?,HOLIDAY PLANS YOU HAVE?
I am hungry let's get something to eat,ME HUNGRY LET'S GET EAT.
I like your new haircut,HAIRCUT NEW YOUR ME LIKE.
She is wearing a red dress,DRESS RED SHE WEARING.
The supermarket is closed today,SUPERMARKET TODAY CLOSED.
I will start a new project next week,NEXT WEEK ME START PROJECT NEW.
Where did you put the book?,BOOK YOU PUT WHERE?
I am excited about the trip,TRIP ME EXCITED ABOUT.
Can you hear the music?,MUSIC YOU HEAR?
I will meet you at the corner,CORNER ME WILL MEET YOU.
The sun is shining brightly,SUN SHINE BRIGHTLY.
I need to practice my ASL skills,ASL SKILLS ME NEED PRACTICE.
It's time to go home,TIME GO HOME.
I feel much better now,NOW ME FEEL BETTER MUCH.
Is there a doctor in the building?,DOCTOR BUILDING THERE IS?
I'm looking for my glasses,GLASSES ME LOOKING FOR.
The class was interesting,CLASS INTERESTING WAS.
I need to charge my phone,PHONE ME NEED CHARGE.
Did you remember to turn off the lights?,LIGHTS TURN-OFF YOU REMEMBER?
I prefer quiet places,PLACES QUIET ME PREFER.
I will write you a letter,LETTER ME WILL WRITE YOU.
This soup is too hot,SOUP THIS HOT TOO.
Do you know how to swim?,SWIM HOW YOU KNOW?
I need to finish this report,REPORT THIS ME NEED FINISH.
The train is late today,TODAY TRAIN LATE.
I am proud of your achievements,ACHIEVEMENTS YOUR ME PROUD.
We went hiking in the mountains,MOUNTAINS WE GO HIKING.
I need to set an alarm for tomorrow,TOMORROW ME NEED SET ALARM.
The concert was amazing,CONCERT AMAZING WAS.
What kind of music do you listen to?,MUSIC KIND WHAT YOU LISTEN?
I will take a nap later,LATER ME WILL TAKE NAP.
The price is too high,PRICE HIGH TOO.
I need to organize my closet,CLOSET ME NEED ORGANIZE.
Did you enjoy the party?,PARTY YOU ENJOY?
I'm so glad it's Friday,FRIDAY ME GLAD SO.
I have a headache,HEADACHE ME HAVE.
I need to apologize to him,HIM ME NEED APOLOGIZE.
The computer is broken,COMPUTER BROKEN.
Do you want to play a game?,GAME YOU WANT PLAY?
I will buy groceries after work,WORK AFTER ME WILL BUY GROCERIES.
It's a beautiful sunset,SUNSET BEAUTIFUL.
I miss my family,FAMILY ME MISS.
The movie was sad,MOVIE SAD WAS.
I need new batteries for the remote,REMOTE ME NEED BATTERIES NEW.
What is the name of that street?,THAT STREET NAME WHAT?
I feel nervous about the interview,INTERVIEW ME FEEL NERVOUS ABOUT.
I will send you an email,EMAIL ME WILL SEND YOU.
The coffee shop is across the street,COFFEE SHOP STREET ACROSS.
I have a dentist appointment tomorrow,TOMORROW DENTIST APPOINTMENT ME HAVE.
It is very difficult to learn a new language,LANGUAGE NEW LEARN VERY DIFFICULT.
I hope you have a great day,DAY GREAT YOU HAVE I HOPE.
I am ready for the challenge,CHALLENGE ME READY FOR.
I want to save time,TIME ME WANT SAVE.
The light is too dim,LIGHT DIM TOO.
Do you believe in magic?,MAGIC YOU BELIEVE?
I need a deep breath,BREATH DEEP ME NEED.
The soup is delicious,SOUP DELICIOUS.
I will remember your kindness,KINDNESS YOUR ME WILL REMEMBER.
I have faith in you,FAITH YOU ME HAVE.
What is the purpose of this?,THIS PURPOSE WHAT?
I need to check the inventory,INVENTORY ME NEED CHECK.
I like the color purple,COLOR PURPLE ME LIKE.
Can you move a little closer?,CLOSER YOU MOVE LITTLE CAN?
I feel a great sense of peace,PEACE SENSE GREAT ME FEEL.
The decision is final,DECISION FINAL.
I will be back in a moment,MOMENT ME WILL BE BACK.
We must respect nature,NATURE WE MUST RESPECT.
I need to change my password,PASSWORD ME NEED CHANGE.
Did you get the memo?,MEMO YOU GET?
I want to master sign language,SIGN LANGUAGE ME WANT MASTER.
The air is fresh here,AIR HERE FRESH.
I will bring a snack,SNACK ME WILL BRING.
The dog is barking loudly,DOG BARK LOUDLY.
I need to find a solution,SOLUTION ME NEED FIND.
I hope for the best outcome,OUTCOME BEST ME HOPE FOR.
Do you have an open mind?,MIND OPEN YOU HAVE?
I will take responsibility,RESPONSIBILITY ME WILL TAKE.
The journey was long,JOURNEY LONG WAS.
I am happy with the result,RESULT ME HAPPY WITH.
What is the latest update?,UPDATE LATEST WHAT?
I need to recharge my batteries,BATTERIES ME NEED RECHARGE.
I prefer a simple life,LIFE SIMPLE ME PREFER.
Can you keep a secret?,SECRET YOU KEEP CAN?
I am thankful for your presence,PRESENCE YOUR ME THANKFUL FOR.
The view is spectacular,VIEW SPECTACULAR.
I need to renew my subscription,SUBSCRIPTION ME NEED RENEW.
I will start immediately,IMMEDIATELY ME WILL START.
The fire is getting bigger,FIRE BIGGER GETTING.
I value honesty in people,HONESTY PEOPLE ME VALUE.
What is your highest priority?,PRIORITY HIGHEST YOUR WHAT?
I need to review the document,DOCUMENT ME NEED REVIEW.
I will meet the deadline,DEADLINE ME WILL MEET.
The water is shallow here,WATER HERE SHALLOW.
Do you have enough time?,TIME ENOUGH YOU HAVE?
I am grateful for this opportunity,OPPORTUNITY THIS ME GRATEFUL FOR.
I need to clear my schedule,SCHEDULE ME NEED CLEAR.
The food tasted bland,FOOD TASTE BLAND.
I want to achieve success,SUCCESS ME WANT ACHIEVE.
The boat is sailing away,BOAT SAIL AWAY.
I need to confirm the details,DETAILS ME NEED CONFIRM.
The sky is turning orange,SKY ORANGE TURNING.
I will try my best,BEST ME WILL TRY.
Do you feel comfortable here?,HERE YOU FEEL COMFORTABLE?
I need to send this package,PACKAGE THIS ME NEED SEND.
The engine stopped working,ENGINE STOP WORK.
I am looking forward to the future,FUTURE ME LOOKING FORWARD TO.
What is your main goal?,GOAL MAIN YOUR WHAT?
I need to follow the rules,RULES ME NEED FOLLOW.
I will always support you,YOU ME WILL ALWAYS SUPPORT.
The music is too loud,MUSIC LOUD TOO.
I need a pen and paper,PEN PAPER ME NEED.
The problem is complex,PROBLEM COMPLEX.
I hope to see you again soon,SOON ME HOPE SEE YOU AGAIN.
I need to buy a gift,GIFT ME NEED BUY.
The window is dirty,WINDOW DIRTY.
I feel a strong connection,CONNECTION STRONG ME FEEL.
I need a new pair of gloves,GLOVES PAIR NEW ME NEED.
The story made me cry,STORY ME CRY MADE.
I want to remember this moment,MOMENT THIS ME WANT REMEMBER.
I need to check the oil level,OIL LEVEL ME NEED CHECK.
Do you understand the difference?,DIFFERENCE YOU UNDERSTAND?
I am ready to move on,MOVE ON ME READY.
The road is very slippery,ROAD SLIPPERY VERY.
I need to fix the chair,CHAIR ME NEED FIX.
I wish you good luck,GOOD LUCK ME WISH YOU.
The whole situation is confusing,SITUATION WHOLE CONFUSING.
I will find a way,WAY ME WILL FIND.
I need to buy a ticket,TICKET ME NEED BUY.
The machine is powerful,MACHINE POWERFUL.
I am tired of waiting,WAITING ME TIRED OF.
What is the next step?,STEP NEXT WHAT?
I need to adjust the settings,SETTINGS ME NEED ADJUST.
I will always be there for you,YOU ME WILL ALWAYS BE THERE.
The air smells sweet,AIR SMELL SWEET.
I need to finish the series,SERIES ME NEED FINISH.
I hope to learn more,MORE ME HOPE LEARN.
Do you have a backup plan?,PLAN BACKUP YOU HAVE?
I am excited about the progress,PROGRESS ME EXCITED ABOUT.
I need to clean the mirror,MIRROR ME NEED CLEAN.
The secret is safe with me,SECRET ME SAFE WITH.
I will celebrate my birthday,BIRTHDAY ME WILL CELEBRATE.
The fence is broken,FENCE BROKEN.
I need to take a shower,SHOWER ME NEED TAKE.
I appreciate your patience,PATIENCE YOUR ME APPRECIATE.
The floor is slippery,FLOOR SLIPPERY.
I want to feel alive,ALIVE ME WANT FEEL.
I need to repair the roof,ROOF ME NEED REPAIR.
The movie was boring,MOVIE BORING WAS.
I will stand by my word,WORD ME WILL STAND BY.
I need to check the mailbox,MAILBOX ME NEED CHECK.
I feel a cold draft,DRAFT COLD ME FEEL.
I want to make a difference,DIFFERENCE ME WANT MAKE.
I need to measure the distance,DISTANCE ME NEED MEASURE.
The problem is solved,PROBLEM SOLVED.
I will see you tomorrow morning,TOMORROW MORNING ME WILL SEE YOU.
I feel disappointed with the outcome,OUTCOME ME FEEL DISAPPOINTED WITH.
The doctor gave me a prescription,DOCTOR PRESCRIPTION ME GIVE.
We are going to the mall later tonight,TONIGHT LATER WE GO MALL.
I need to buy milk eggs and bread,MILK EGGS BREAD ME NEED BUY.
What is the password for the Wi-Fi?,WI-FI PASSWORD WHAT?
I am learning how to change a tire,TIRE CHANGE HOW ME LEARNING.
The music volume is too low,MUSIC VOLUME LOW TOO.
Can you describe your new apartment?,APARTMENT NEW YOUR YOU DESCRIBE CAN?
I need to prepare a presentation,PRESENTATION ME NEED PREPARE.
I will start exercising next month,NEXT MONTH ME WILL START EXERCISE.
Did you remember to take out the trash?,TRASH TAKE-OUT YOU REMEMBER?
I want to travel around the world,WORLD AROUND ME WANT TRAVEL.
The weather will be cold tomorrow,TOMORROW WEATHER COLD WILL BE.
I have a meeting with my supervisor,SUPERVISOR MEETING ME HAVE.
I need to refill my water bottle,WATER BOTTLE ME NEED REFILL.
It's important to practice every day,EVERY DAY PRACTICE IMPORTANT.
I am afraid of heights,HEIGHTS ME AFRAID.
I need to set up my new computer,COMPUTER NEW ME NEED SET-UP.
The concert was held outdoors,CONCERT OUTDOORS HELD.
I'll be home around six o'clock,SIX O'CLOCK AROUND ME WILL HOME.
What's your favorite type of food?,FOOD TYPE FAVORITE YOUR WHAT?
I need to replace my eyeglasses,EYEGLASSES ME NEED REPLACE.
I can't find my car keys,CAR KEYS ME FIND CAN'T.
I will send a text message later,LATER ME WILL SEND TEXT MESSAGE.
The floor is very dusty,FLOOR DUSTY VERY.
I want to try that new restaurant,RESTAURANT NEW THAT ME WANT TRY.
I need to check the train departure time,TRAIN DEPARTURE TIME ME NEED CHECK.
I'm not sure how to fix this,THIS FIX HOW ME SURE NOT.
We need to save money for retirement,RETIREMENT MONEY WE NEED SAVE.
I am thankful for your advice,ADVICE YOUR ME THANKFUL FOR.
What is the meaning of this word?,WORD THIS MEANING WHAT?
I will clean the patio this weekend,THIS WEEKEND ME WILL CLEAN PATIO.
I need to finish reading this chapter,CHAPTER THIS ME NEED FINISH READ.
The package should arrive on Tuesday,TUESDAY PACKAGE SHOULD ARRIVE.
I don't feel like watching TV tonight,TONIGHT TV WATCH ME FEEL NOT.
Can you turn up the heat please?,HEAT YOU TURN UP PLEASE CAN?
I'm trying to learn calligraphy,CALLIGRAPHY ME TRYING LEARN.
I need to charge my camera battery,CAMERA BATTERY ME NEED CHARGE.
I have an interview for a new position,POSITION NEW ME HAVE INTERVIEW.
The grocery store is a short distance away,GROCERY STORE DISTANCE SHORT AWAY.
I need to buy a new belt,BELT NEW ME NEED BUY.
We visited the museum last month,LAST MONTH WE VISIT MUSEUM.
I feel much less stressed now,NOW ME FEEL STRESSED LESS MUCH.
I will call you after dinner,DINNER AFTER ME WILL CALL YOU.
The traffic jam was very long,TRAFFIC JAM LONG VERY.
I need to make photocopies of this,THIS ME NEED MAKE PHOTOCOPIES.
Do you have a suggestion for a good movie?,MOVIE GOOD SUGGESTION YOU HAVE?
I am ready to start the project now,NOW PROJECT START ME READY.
The meeting will take place at noon,NOON MEETING WILL TAKE PLACE.
I need to organize my tool box,TOOL BOX ME NEED ORGANIZE.
I will take my car to the mechanic,CAR MY ME WILL TAKE MECHANIC TO.
What are the rules of this game?,GAME THIS RULES WHAT?
I need to clean the gutters tomorrow,TOMORROW GUTTERS ME NEED CLEAN.
I'm looking forward to the holiday break,HOLIDAY BREAK ME LOOKING FORWARD TO.
I will return the borrowed book soon,BOOK BORROWED ME WILL RETURN SOON.
I need to practice my driving skills,DRIVING SKILLS ME NEED PRACTICE.
The lecture was difficult to follow,LECTURE FOLLOW DIFFICULT WAS.
I am not interested in that topic,THAT TOPIC ME INTERESTED NOT.
I need to pay my taxes by Friday,FRIDAY BY ME NEED PAY TAXES.
The children are playing outside,CHILDREN OUTSIDE PLAYING.
I will visit my parents next week,NEXT WEEK ME WILL VISIT PARENTS.
I need to buy some tape and glue,TAPE GLUE ME NEED BUY SOME.
The dog needs to go to the vet,DOG NEED GO VET.
I want to learn more about space,SPACE ABOUT ME WANT LEARN MORE.
I need to replace the kitchen faucet,KITCHEN FAUCET ME NEED REPLACE.
The sky is a beautiful shade of pink,SKY PINK SHADE BEAUTIFUL.
I will send you the document as a PDF,DOCUMENT ME WILL SEND YOU AS PDF.
I need to find my old photo album,PHOTO ALBUM OLD MY ME NEED FIND.
I am waiting for the approval,APPROVAL ME WAITING FOR.
I need to buy a new laptop case,LAPTOP CASE NEW ME NEED BUY.
The movie was released last month,LAST MONTH MOVIE RELEASED.
I need to empty the dishwasher,DISHWASHER ME NEED EMPTY.
I feel a sharp pain in my back,BACK MY PAIN SHARP ME FEEL.
I will try to be more organized,ORGANIZED MORE ME WILL TRY BE.
I need to vacuum the entire house,HOUSE ENTIRE ME NEED VACUUM.
