test_number,timestamp,audio_duration,whisper_output,ground_truth,asl_converted,expected_gloss,predicted_gloss,gloss_error_rate,gloss_accuracy,mapped_signs,unknown_words,wer,rtf,latency,mapping_accuracy,vocabulary_coverage,unknown_ratio
2,2026-04-29T19:44:30.364665,3.71,I am going to school tomorrow.,I AM GOING TO SCHOOL TOMORROW,TOMORROW TO SCHOOL I GO,TOMORROW SCHOOL I GO,TOMORROW <NULL> SCHOOL I GO,0.2500,0.7500,TOMORROW <NULL> SCHOOL I GO,,0.1667,1.6465,29.182,1.0000,1.0000,0.0000
5,2026-04-29T19:47:22.394918,3.97,Eating pizza yesterday.,She was eating pizza yesterday.,YESTERDAY EAT PIZZA,YESTERDAY PIZZA SHE EAT,YESTERDAY EAT PIZZA,0.7500,0.2500,YESTERDAY EAT PIZZA,,0.4000,0.8992,17.367,1.0000,1.0000,0.0000
6,2026-04-29T19:48:17.633257,3.46,Where are you going now?,Where are you going now?,NOW YOU GO WHERE,NOW YOU GO WHERE,NOW YOU GO WHERE,0.0000,1.0000,NOW YOU GO WHERE,,0.0000,0.9029,25.086,1.0000,1.0000,0.0000
8,2026-04-29T19:50:41.274461,3.52,What is your favorite food?,What is your favorite food?,YOUR FAVORITE FOOD WHAT,YOUR FAVORITE FOOD WHAT,YOUR FAVORITE FOOD WHAT,0.0000,1.0000,YOUR FAVORITE FOOD WHAT,"your,favorite",0.0000,0.8188,18.279,0.5000,0.5000,0.5000
11,2026-04-29T19:52:42.663588,3.46,Word is running.,Why were they running?,WORD RUN,THEY RUN WHY,WORD RUN,0.6667,0.3333,WORD RUN,word,1.0000,0.8018,15.045,0.5000,0.5000,0.5000
12,2026-04-29T19:54:01.070311,4.48,I do not understand this question.,I do not understand this question.,THIS QUESTION I UNDERSTAND NOT,QUESTION THIS I UNDERSTAND NOT,THIS QUESTION I UNDERSTAND NOT,0.4000,0.6000,THIS QUESTION I UNDERSTAND NOT,"this,question,not",0.0000,0.7812,26.026,0.4000,0.4000,0.6000
13,2026-04-29T19:54:56.345951,3.65,She does not like coffee.,She does not like coffee.,COFFEE SHE LIKE NOT,COFFEE SHE LIKE NOT,COFFEE SHE LIKE NOT,0.0000,1.0000,COFFEE SHE LIKE NOT,not,0.0000,1.2293,26.431,0.7500,0.7500,0.2500
14,2026-04-29T19:55:51.057354,4.22,I bought a red car.,I bought a red car.,RED CAR I BOUGHT,CAR RED I BUY,RED CAR I BOUGHT,0.7500,0.2500,RED CAR I BOUGHT,"red,bought",0.0000,0.6672,22.722,0.5000,0.5000,0.5000
1,2026-04-29T20:08:03.583177,3.33,The dog is very big.,The dog is very big.,DOG BIG,DOG BIG,DOG BIG,0.0000,1.0000,DOG BIG,dog,0.0000,2.3573,20.750,0.5000,0.5000,0.5000
2,2026-04-29T20:10:13.327980,4.74,"If it rains tomorrow, I will stay home.","If it rains tomorrow, I will stay home.",TOMORROW IF IT RAINS I WILL STAY HOME,TOMORROW RAIN IF I STAY HOME,TOMORROW IF IT RAINS I WILL STAY HOME,0.6667,0.3333,TOMORROW IF IT RAINS I WILL STAY HOME,"if,it,rains,will,stay",0.0000,0.6995,20.164,0.3750,0.3750,0.6250
3,2026-04-29T20:12:36.400837,3.20,If you study hard you will pass.,"If you study hard, you will pass.",IF YOU STUDY HARD YOU WILL PASS,STUDY HARD IF YOU PASS,IF YOU STUDY HARD YOU WILL PASS,0.8000,0.2000,IF YOU STUDY HARD YOU WILL PASS,"if,hard,will,pass",0.1429,1.0357,20.959,0.4286,0.3333,0.5714
4,2026-04-29T20:13:54.006115,3.65,I will not go to school tomorrow.,I will not go to school tomorrow.,TOMORROW GO TO SCHOOL I WILL NOT,TOMORROW SCHOOL I GO NOT,TOMORROW GO <NULL> SCHOOL I WILL NOT,0.6000,0.4000,TOMORROW GO <NULL> SCHOOL I WILL NOT,"will,not",0.0000,0.8745,20.550,0.7143,0.7143,0.2857
5,2026-04-29T20:16:47.141816,4.67,Why are you not coming to class today?,Why are you not coming to class today?,TODAY TO CLASS YOU COMING WHY NOT,TODAY CLASS YOU COME NOT WHY,TODAY <NULL> CLASS YOU COME WHY NOT,0.5000,0.5000,TODAY <NULL> CLASS YOU COME WHY NOT,"class,not",0.0000,0.8322,19.797,0.7143,0.7143,0.2857
6,2026-04-29T20:18:28.191565,4.74,Where will my sister be working next week?,Where will my sister be working next week?,WEEK WILL MY SISTER WORKING NEXT WHERE,NEXT-WEEK MY SISTER WORK WHERE,WEEK WILL MY SISTER WORK NEXT WHERE,0.6000,0.4000,WEEK WILL MY SISTER WORK NEXT WHERE,"will,my,next",0.0000,0.6809,28.086,0.5714,0.5714,0.4286
